Sólidos sedimentables,ml/l ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH,u pH ,7.56,3.25,8.7,8.434,8.25,8.45,8.763,8.73,8.5,8.04,7.516,9.306,7.87,8.18,8.05,7,8.72,7.74,7.45,7.704,7.87,8.125,7.98,7.928,6.37,8.44,8.05,3.37,8.279,8.06,8.41,7.165,5.95,7.8,8.38,8.3,7.85,8.04,7.96,8.15,7.89,7.6,7.64,7.72,7.61,7.64,7.72,7.62,7.628
pH (mV),mV ,-35.4,192.1,-95.4,-81.2,-71.7,-81.7,-98.45,-97.05,-87.2,-62.5,-35.8,33.2,-58.2,-76,-68.2,-7.6,-107.9,-50.55,-33.7,-48.3,-56.95,-67.5,-62.15,-59.5,26.35,-71.1,-65,185.95,-77.5,-66.8,-84.7,-17.2,49,-50.6,-83.7,-79.2,-54.9,-65.7,-62,-72.4,-58.7,-43.1,-47.5,-49.75,-43.4,-44.9,-48.7,-43.95,-43.8
Conductividad específica (T ref. 25°C),uS/cm ,729,531,1224.5,1132,420,898,1182,1262,1152,1102,413,54700,2580,1985,6550,2830,2410,991,996,563,889.5,437,500,555,770,660,540,483.5,492,234,667,722,1380,269,324,505,680,593,361,291,444,488,3770,666,700.5,646,648.5,712,728
Salinidad,Sal ,0.3,0.2,0.6,0.5,0.1,0.4,0.5,0.6,0.5,0.5,0.1,35.8,1.3,1,13.6,1.4,1.2,0.4,0.4,0.2,0.4,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0,0.3,0.3,0.65,0,0.1,0.2,0.3,0.2,0.1,0.05,0.1,0.2,2,0.3,0.3,0.2,0.2,0.3,0.3
Temperatura,C ,12.15,10.6,13.7,12.8,15.5,11.3,12.7,12.6,21.5,21.4,26.7,33.1,31.1,30.9,31.2,31,35.6,32.2,31.5,29.5,27,10.2,20.8,22.1,16.2,22.2,14.8,12.2,18.2,20.9,17.9,21.2,18.1,9.5,20.3,18.1,21.4,20.9,24.4,23.4,27.6,29.4,29.4,30.8,31,29.2,29.1,31.3,29.9
Oxígeno disuelto,mg/l O2,6.25,7.28,9.05,8.02,6.94,7.82,8.25,9,8.77,7.75,3.82,13.62,4.54,5.84,3.96,1.25,10.72,4.71,0.81,3.11,2.61,7.1,6.13,6.09,6.98,6.3,6.84,7.12,7.24,7.16,7.125,5.55,6.01,6.7,6.34,6.89,6.24,6.54,7.74,7.69,7.62,3.81,4.07,5.9,4.8,5.17,5.12,5.44,5.36
Saturación de oxígeno,% ,87.1,101,111.1,103.2,99.6,99.8,103.5,112.2,104,90.2,48.4,194,62.1,79.5,54.1,17.2,159.6,66.3,11.3,42,50.1,100,97,99.6,97.4,99.7,101.1,102.3,99.7,101.5,102.4,94.3,98.2,98.1,101,102.5,94.15,97.3,102.7,97.2,101.9,51.6,54,82,66,69.4,69,73.5,74
Turbiedad,UNT ,125,86.7,68.6,141,95.2,241,158,73.1,46.4,791,24.2,1.51,36.6,118,14.6,15.1,87.5,395.4,8.75,>1100,73,846,>1100,>1100,>1100,>1100,>1100,116.7,>1100,1037.2,>1100,802.2,824,3.47,>1100,>1100,>1100,>1100,>1100,>1100,>1100,>1100,126.2,>1100,>1100,>1100,>1100,>1100,>1100
Sólidos totales,mg/l ,546,247,816,783,374,726,819,781,950,3700,312.4,39870.1,1869.1,1796.5,4606,2031.6,,1042.3,725.7,39755,560,690,950,753,1912,1130,410,350,980,985,1040,960,1300,230,1445,958,1346,873,8900,6930,25800,11180,2533.9,1815.2,2825.7,27780,27930,28310,18740
