Institución,,DE - CTN,,,,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,DE - CTN,,,,,,DE - CTN,,,,,,DE - CTN,,,DE - CTN,,,DE - CTN,
Río,,Tarapaya,,,,,,Colavi,,,Pilcomayo,,,Pilcomayo,,,,,,Tacobamba,,,Pilcomayo,,,Tumusla,,,San Juan del Oro,,,Pilcomayo,,,Pilcomayo,,,La Estrella,,,San Juan del Oro,,,Tupiza,,,Cotagaita,,,Tumusla,,,Pilcomayo,,,Colavi,,,Pilcomayo,,,Pilcomayo,,,Pilcomayo,,,Tarapaya,,,Aljamayu,,,Tacobamba,,,Pilcomayo,,,Tumusla,,,San Juan del Oro,,,Pilaya,,,Pilcomayo,,,Pilcomayo,,,Pilcomayo,,,Pilcomayo,,,,,,Pilcomayo Medio Embocadura - Canal Paraguayo,,,,,,La Estrella,,,Pilcomayo,,,Pilcomayo,
Latitud,,"19° 28' 18.72""",,,,,,"19° 19' 17.23""",,,"19° 24' 27.59""",,,"19° 07' 48.93""",,,,,,"19° 11' 23.74""",,,"19° 07' 56.06""",,,"20° 44' 32.77""",,,"21° 14' 21.84""",,,"21° 15' 31.72""",,,"22° 22' 41.2""",,,"23° 8' 17.81""",,,"21° 33' 41.01""",,,"21° 28' 9.11""",,,"20° 49' 15.87""",,,"20° 29' 13.2""",,,"19° 23' 45.62""",,,"19° 19' 16.72""",,,"19° 21' 29.36""",,,"19° 27' 12.69""",,,"19° 7' 51.09""",,,"19° 28' 18.50""",,,"19° 34' 41.41""",,,"19° 12' 28.9""",,,"19° 7' 56.3""",,,"20° 44' 32.41""",,,"21° 14' 21.66""",,,"21° 9' 5.24""",,,"20° 54' 49.78""",,,"21° 15' 31.75""",,,"22° 22' 40.37""",,,"23° 27' 7.14""",,,,,,"22° 42' 44.01""",,,,,,"22° 42' 0.69""",,,"23° 10' 11.26""",,,"22° 51' 36.37""",
Longitud,,"65° 47' 39.43""",,,,,,"65° 33' 7.31""",,,"64° 51' 47.99""",,,"65° 27' 4.31""",,,,,,"65° 32' 56.64""",,,"65° 34' 20.15""",,,"65° 14' 25.60""",,,"65° 12' 32.96""",,,"63° 30' 41.45""",,,"62° 31' 7.01""",,,"61° 57' 51.20""",,,"65° 38' 51.89""",,,"65° 42' 53.17""",,,"65° 39' 57.9""",,,"65° 37' 3.73""",,,"65° 54' 24.14""",,,"65° 33' 6.78""",,,"65° 10' 21.62""",,,"64° 50' 27.98""",,,"65° 27' 1.96""",,,"65° 47' 39.68""",,,"65° 48' 12.20""",,,"65° 33' 12.2""",,,"65° 34' 20.12""",,,"65° 14' 25.67""",,,"65° 12' 32.67""",,,"64° 14' 17.88""",,,"64° 6' 37.74""",,,"63° 30' 41.77""",,,"62° 31' 6.71""",,,"60° 52' 19.21""",,,,,,"62° 9' 19.84""",,,,,,"62° 11' 35.15""",,,"61° 37' 29.15""",,,"62° 1' 9.01""",
Analisis Textural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arena,% ,51.6,,,51.6,,,60.4,,,1.3,,,69.2,,,69.2,,,45,,,15.9,,,2.5,,,27.8,,,37.5,,,2.4,,,54.1,,,37.4,,,18,,,40.4,,,70,,,12.6,,,64.6,,,34.6,,,46.8,,,30.1,,,62.5,,,35.1,,,35.1,,,58.8,,,59.1,,,34.7,,,65.4,,,66.3,,,66.3,,,51.2,,,2.5,,,2.5,,,8.4,,,8.4,,,12.1,,,10.2,,,3.1,
Limo,% ,45,,,45,,,35.6,,,64.9,,,27.4,,,27.4,,,26.8,,,60.3,,,80.3,,,65,,,40.3,,,65.4,,,22.1,,,36.1,,,42.8,,,32.1,,,5.4,,,62.8,,,11.2,,,38.7,,,30.7,,,44.9,,,12.5,,,37.5,,,40.7,,,17,,,14.6,,,34.1,,,10,,,9.6,,,9.2,,,24.6,,,52.5,,,52.5,,,60.3,,,60.3,,,47.5,,,52.8,,,37.4,
Arcilla,% ,3.4,,,3.4,,,4,,,33.8,,,3.4,,,3.4,,,28.2,,,23.8,,,17.2,,,7.2,,,22.2,,,32.2,,,23.8,,,26.3,,,39.2,,,27.5,,,24.6,,,24.6,,,24.2,,,26.7,,,22.5,,,25,,,25,,,27.4,,,24.2,,,24.2,,,26.3,,,31.2,,,24.6,,,24.1,,,24.2,,,24.2,,,45,,,45,,,31.3,,,31.3,,,40.4,,,37,,,59.5,
Clasificación textural,Texto ,Franco arenoso,,,Franco arenoso,,,Franco arenoso,,,Franco arcilloso limoso,,,Franco arenoso,,,Franco arenoso,,,Franco arcillo arenoso,,,Franco limoso,,,Franco limoso,,,Franco limoso,,,Franca,,,Franco arcilloso limoso,,,Franco arcillo arenoso,,,Franco,,,Franco arcilloso limoso,,,Franco,,,Franco arcillo arenoso,,,Franco limoso,,,Franco arcillo arenoso,,,Franco,,,Franco,,,Franco,,,Franco arcillo arenoso,,,Franco arcilloso,,,Franco,,,Franco arcillo arenoso,,,Franco arcillo arenoso,,,Franco,,,Franco arcillo arenoso,,,Franco arcillo arenoso,,,Franco arcillo arenosa,,,Franco arcilloso arenoso,,,Arcillo limoso,,,Arcillo limoso,,,Franco arcillo limoso,,,Franco arcillo limoso,,,Franco arcilloso limoso,,,Franco arcilloso limoso,,,Arcilloso,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granulometría,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.016 mm,% ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.032 mm - N° 450 (ASTM),% ,4.19,,,4.19,,,4.98,,,10.98,,,7.87,,,7.87,,,7.75,,,13.33,,,5.56,,,5.41,,,7.56,,,10.24,,,23.78,,,18.21,,,24.33,,,18.61,,,16.35,,,20.43,,,18.42,,,29.61,,,18.92,,,22.22,,,11.91,,,19.53,,,21.12,,,25.61,,,8.05,,,6.42,,,16.5,,,21.77,,,19.2,,,9.22,,,31.86,,,31.86,,,30.55,,,30.55,,,28.72,,,21.2,,,38.33,
0.063 mm - N° 230 (ASTM),% ,8.77,,,8.77,,,5.62,,,13.35,,,8.64,,,8.64,,,12.8,,,14.95,,,17.85,,,9.63,,,8.49,,,21.44,,,29.63,,,23.18,,,29.36,,,14.34,,,10.99,,,27.91,,,12.63,,,15.13,,,19.31,,,19.55,,,37.41,,,26.3,,,29.32,,,4.23,,,15.22,,,14.25,,,5.14,,,11.77,,,2.26,,,14.61,,,41.93,,,41.93,,,32.28,,,32.28,,,44.06,,,46.15,,,27.01,
