site,n,al,as,cd,co,cr,cu,fe,mn,ni,pb,zn,season,unit,p_h,do_mg_l,sc_u_s_cm,low_net_acidity_mg_l_ca_co3,high_net_acidity_mg_l_ca_co3,sulfate_mg_l,q_l_s,ph_flag,flow_flag,cond_s_cm,ph_category,cond_category,flow_category,p_h_outlier,cond_s_cm_outlier,q_l_s_outlier,al_outlier,as_outlier,cd_outlier,co_outlier,cr_outlier,cu_outlier,fe_outlier,mn_outlier,ni_outlier,pb_outlier,zn_outlier
6C,1,110,13.6,0.57,1.05,0.031,0.39,512,54.2,0.56,7.36,351,dry,mg_L,NA,NA,NA,NA,NA,NA,NA,missing,missing,1500,NA,High (1500-3000),Unknown,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1Aa,3,5.76,0.03,0.17,0.14,0.002,0.037,111,13.2,0.16,0.065,574,dry,mg_L,NA,NA,NA,NA,NA,NA,NA,missing,missing,1500,NA,High (1500-3000),Unknown,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2Ab,2,85,21.5,7.79,0.59,0.031,0.047,2000,135,0.82,0.5,3240,dry,mg_L,NA,NA,NA,NA,NA,NA,NA,missing,missing,1500,NA,High (1500-3000),Unknown,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3A,1,810,7.35,48.5,5.58,0.15,10.5,3240,44.9,5.92,0.64,9620,dry,mg_L,3,2.91,14900,25200,28100,NA,0.07,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3A,1,810,7.35,48.5,5.58,0.15,10.5,3240,44.9,5.92,0.64,9620,dry,mg_L,3,2.91,14900,25200,28100,NA,0.07,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1T,1,167,0,0.72,0.33,0.006,23.6,49.1,48.5,0.29,0.17,103,dry,mg_L,3,2.5,2820,1350,1400,NA,0.26,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1T,1,167,0,0.72,0.33,0.006,23.6,49.1,48.5,0.29,0.17,103,dry,mg_L,3,2.5,2820,1350,1400,NA,0.26,valid,valid,1500,Very Acidic (2-4),High (1500-3000),Low (<1 L/s),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2T,1,8.12,0,0.087,0.018,0.004,0.6,0.36,3.65,0.078,0.042,14.3,NA,mg_L,NA,NA,NA,NA,NA,NA,NA,missing,missing,1500,NA,High (1500-3000),Unknown,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3T,1,0.28,0,0.025,0,0.002,0.03,0.15,0.3,0.026,0.025,4.84,dry,mg_L,6.5,6.6,893,NA,NA,NA,0.1,valid,valid,1500,Slightly Acidic (6-7),High (1500-3000),Low (<1 L/s),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3T,1,0.28,0,0.025,0,0.002,0.03,0.15,0.3,0.026,0.025,4.84,dry,mg_L,6.5,6.6,893,NA,NA,NA,0.1,valid,valid,1500,Slightly Acidic (6-7),High (1500-3000),Low (<1 L/s),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
